Admin1,Crop,Area,Rank,Label
Pwani,sorghum _vop,2779037.90670395,7,Pwani-8-7
Pwani,bean _vop,6615.30020141602,8,Pwani-2-8
Pwani,groundnut _vop,496.599983215332,9,Pwani-5-9
Pwani,wheat _vop,0,,Pwani-10-NA
Njombe,total _vop,281903134.8479,1,Njombe-9-1
Njombe,cereals _vop,39766096.3553772,2,Njombe-4-2
Njombe,pulses _vop,29058123.9358673,3,Njombe-6-3
Njombe,groundnut _vop,27624951.661232,4,Njombe-5-4
Njombe,bean _vop,22232200.2349548,5,Njombe-2-5
Njombe,cassava _vop,4174138.09273148,6,Njombe-3-6
Njombe,wheat _vop,3388575.50387287,7,Njombe-10-7
Njombe,rice _vop,1190595.01182556,8,Njombe-7-8
Njombe,banana_and_plantain _vop,546686.89805603,9,Njombe-1-9
Njombe,sorghum _vop,258740.599184036,10,Njombe-8-10
Mwanza,total _vop,209064390.515625,1,Mwanza-9-1
Mwanza,cereals _vop,78936184.3945313,2,Mwanza-4-2
Mwanza,rice _vop,49770363.4199219,3,Mwanza-7-3
Mwanza,cassava _vop,20065952.5177002,4,Mwanza-3-4
Mwanza,pulses _vop,20055138.1601563,5,Mwanza-6-5
Mwanza,bean _vop,6643555.26367188,6,Mwanza-2-6
Mwanza,banana_and_plantain _vop,4422149.71807861,7,Mwanza-1-7
Mwanza,sorghum _vop,4095236.68457031,8,Mwanza-8-8
Mwanza,groundnut _vop,4002621.19616699,9,Mwanza-5-9
Mwanza,wheat _vop,0,,Mwanza-10-NA
Mtwara,total _vop,322874168.050293,1,Mtwara-9-1
Mtwara,pulses _vop,71666253.15271,2,Mtwara-6-2
Mtwara,cassava _vop,37635173.908226,3,Mtwara-3-3
Mtwara,cereals _vop,31548392.3528976,4,Mtwara-4-4
Mtwara,groundnut _vop,18078842.1218109,5,Mtwara-5-5
Mtwara,rice _vop,15584594.0941544,6,Mtwara-7-6
Mtwara,sorghum _vop,3805896.59953594,7,Mtwara-8-7
Mtwara,banana_and_plantain _vop,360312.49723053,8,Mtwara-1-8
Mtwara,bean _vop,246143.401092529,9,Mtwara-2-9
Mtwara,wheat _vop,0,,Mtwara-10-NA
Morogoro,total _vop,304763254.818542,1,Morogoro-9-1
Morogoro,cereals _vop,172963430.350361,2,Morogoro-4-2
Morogoro,rice _vop,123050652.000095,3,Morogoro-7-3
Morogoro,pulses _vop,34974175.9950256,4,Morogoro-6-4
Morogoro,banana_and_plantain _vop,25080596.6438332,5,Morogoro-1-5
Morogoro,bean _vop,24816564.1466599,6,Morogoro-2-6
Morogoro,cassava _vop,17727230.1594467,7,Morogoro-3-7
Morogoro,groundnut _vop,2669470.21136475,8,Morogoro-5-8
Morogoro,sorghum _vop,1545194.99905205,9,Morogoro-8-9
Morogoro,wheat _vop,14374.399930954,10,Morogoro-10-10
Mjini Magharibi,total _vop,6839746.75,1,Mjini Magharibi-9-1
Mjini Magharibi,cereals _vop,1097710.90625,2,Mjini Magharibi-4-2
Mjini Magharibi,rice _vop,985018.5,3,Mjini Magharibi-7-3
Mjini Magharibi,cassava _vop,827430,4,Mjini Magharibi-3-4
Mjini Magharibi,pulses _vop,58099.9990234375,5,Mjini Magharibi-6-5
Mjini Magharibi,groundnut _vop,14615.3999023438,6,Mjini Magharibi-5-6
Mjini Magharibi,sorghum _vop,9582.10038757324,7,Mjini Magharibi-8-7
Mjini Magharibi,bean _vop,8479.5,8,Mjini Magharibi-2-8
Mjini Magharibi,banana_and_plantain _vop,0,,Mjini Magharibi-1-NA
Mjini Magharibi,wheat _vop,0,,Mjini Magharibi-10-NA
Mbeya,total _vop,471063188.851196,1,Mbeya-9-1
Mbeya,cereals _vop,126581086.611572,2,Mbeya-4-2
Mbeya,banana_and_plantain _vop,122530105.524231,3,Mbeya-1-3
Mbeya,rice _vop,63999294.5025997,4,Mbeya-7-4
Mbeya,pulses _vop,49964306.1630707,5,Mbeya-6-5
Mbeya,bean _vop,47737150.1267014,6,Mbeya-2-6
Mbeya,groundnut _vop,11643790.4927025,7,Mbeya-5-7
Mbeya,cassava _vop,4639550.20956039,8,Mbeya-3-8
Mbeya,sorghum _vop,2755814.50566483,9,Mbeya-8-9
Mbeya,wheat _vop,585377.60131836,10,Mbeya-10-10
Mara,total _vop,207144279.635132,1,Mara-9-1
Mara,banana_and_plantain _vop,52018439.8789825,2,Mara-1-2
Mara,cassava _vop,49661816.3738461,3,Mara-3-3
Mara,cereals _vop,44541167.8516159,4,Mara-4-4
Mara,pulses _vop,19696807.8680725,5,Mara-6-5
Mara,bean _vop,17219527.5428619,6,Mara-2-6
Mara,sorghum _vop,15773128.6167297,7,Mara-8-7
Mara,rice _vop,6699967.74655914,8,Mara-7-8
Mara,groundnut _vop,793560.501983643,9,Mara-5-9
Mara,wheat _vop,0,,Mara-10-NA
Manyara,total _vop,186713952.635101,1,Manyara-9-1
Manyara,pulses _vop,79849459.4838257,2,Manyara-6-2
Manyara,cereals _vop,54351649.2199326,3,Manyara-4-3
Manyara,bean _vop,48018001.1598587,4,Manyara-2-4
Manyara,rice _vop,8260030.23347092,5,Manyara-7-5
Manyara,banana_and_plantain _vop,4099826.20736694,6,Manyara-1-6
Manyara,wheat _vop,3917212.79676151,7,Manyara-10-7
Manyara,sorghum _vop,1252219.59869003,8,Manyara-8-8
Manyara,cassava _vop,722800.90020752,9,Manyara-3-9
Manyara,groundnut _vop,446041.400032044,10,Manyara-5-10
Lindi,total _vop,271705960.07666,1,Lindi-9-1
Lindi,pulses _vop,36340286.0710449,2,Lindi-6-2
Lindi,cereals _vop,30328151.6609726,3,Lindi-4-3
Lindi,cassava _vop,23007992.4336109,4,Lindi-3-4
Lindi,rice _vop,12323531.9924812,5,Lindi-7-5
Lindi,groundnut _vop,6465935.17572784,6,Lindi-5-6
Lindi,sorghum _vop,6442061.51090908,7,Lindi-8-7
Lindi,banana_and_plantain _vop,7998.69987869263,8,Lindi-1-8
Lindi,bean _vop,1623.70001220703,9,Lindi-2-9
Lindi,wheat _vop,0,,Lindi-10-NA
Kusini Unguja,total _vop,35692226.3623047,1,Kusini Unguja-9-1
Kusini Unguja,cassava _vop,4140701.03710938,2,Kusini Unguja-3-2
Kusini Unguja,cereals _vop,3236006.37579346,3,Kusini Unguja-4-3
Kusini Unguja,rice _vop,2891102.1796875,4,Kusini Unguja-7-4
Kusini Unguja,pulses _vop,126551.800231934,5,Kusini Unguja-6-5
Kusini Unguja,groundnut _vop,44658.0002441406,6,Kusini Unguja-5-6
Kusini Unguja,sorghum _vop,17621.3995857239,7,Kusini Unguja-8-7
Kusini Unguja,bean _vop,9982.70007324219,8,Kusini Unguja-2-8
Kusini Unguja,banana_and_plantain _vop,0,,Kusini Unguja-1-NA
Kusini Unguja,wheat _vop,0,,Kusini Unguja-10-NA
Kusini Pemba,total _vop,13109700.734375,1,Kusini Pemba-9-1
Kusini Pemba,cereals _vop,6400980.28125,2,Kusini Pemba-4-2
Kusini Pemba,rice _vop,6314283.578125,3,Kusini Pemba-7-3
Kusini Pemba,cassava _vop,4218210.734375,4,Kusini Pemba-3-4
Kusini Pemba,groundnut _vop,124952.302734375,5,Kusini Pemba-5-5
Kusini Pemba,pulses _vop,121111.501953125,6,Kusini Pemba-6-6
Kusini Pemba,sorghum _vop,6607.29986572266,7,Kusini Pemba-8-7
Kusini Pemba,banana_and_plantain _vop,0,,Kusini Pemba-1-NA
Kusini Pemba,bean _vop,0,,Kusini Pemba-2-NA
Kusini Pemba,wheat _vop,0,,Kusini Pemba-10-NA
Kilimanjaro,total _vop,329715275.30481,1,Kilimanjaro-9-1
Kilimanjaro,banana_and_plantain _vop,118295457.364136,2,Kilimanjaro-1-2
Kilimanjaro,cereals _vop,58378970.5977783,3,Kilimanjaro-4-3
Kilimanjaro,pulses _vop,34806217.8779297,4,Kilimanjaro-6-4
Kilimanjaro,bean _vop,29350123.9746094,5,Kilimanjaro-2-5
Kilimanjaro,rice _vop,22128585.6177979,6,Kilimanjaro-7-6
Kilimanjaro,sorghum _vop,6860769.46992493,7,Kilimanjaro-8-7
Kilimanjaro,cassava _vop,3948765.59228516,8,Kilimanjaro-3-8
Kilimanjaro,groundnut _vop,2313871.72705078,9,Kilimanjaro-5-9
Kilimanjaro,wheat _vop,2261874.60594177,10,Kilimanjaro-10-10
Kigoma,total _vop,680348452.429321,1,Kigoma-9-1
Kigoma,banana_and_plantain _vop,292166741.619186,2,Kigoma-1-2
Kigoma,pulses _vop,85890585.0165024,3,Kigoma-6-3
Kigoma,cereals _vop,80577839.2234421,4,Kigoma-4-4
Kigoma,bean _vop,79632434.6842422,5,Kigoma-2-5
Kigoma,cassava _vop,49856791.7116852,6,Kigoma-3-6
Kigoma,rice _vop,36361994.1764755,7,Kigoma-7-7
Kigoma,groundnut _vop,11121064.4170532,8,Kigoma-5-8
Kigoma,sorghum _vop,1656433.20410919,9,Kigoma-8-9
Kigoma,wheat _vop,0,,Kigoma-10-NA
Katavi,total _vop,240712631.260742,1,Katavi-9-1
Katavi,cereals _vop,83093422.4717445,2,Katavi-4-2
Katavi,rice _vop,52807033.3923016,3,Katavi-7-3
Katavi,banana_and_plantain _vop,28434534.1807404,4,Katavi-1-4
Katavi,pulses _vop,12665510.8353882,5,Katavi-6-5
Katavi,bean _vop,11968907.5172119,6,Katavi-2-6
Katavi,cassava _vop,10543330.3585987,7,Katavi-3-7
Katavi,groundnut _vop,4980817.07633591,8,Katavi-5-8
Katavi,sorghum _vop,302650.398859024,9,Katavi-8-9
Katavi,wheat _vop,94.6999969482422,10,Katavi-10-10
Kaskazini Unguja,total _vop,18883711.75,1,Kaskazini Unguja-9-1
Kaskazini Unguja,cereals _vop,3148328.625,2,Kaskazini Unguja-4-2
Kaskazini Unguja,cassava _vop,2894145.09375,3,Kaskazini Unguja-3-3
Kaskazini Unguja,rice _vop,2643342.6875,4,Kaskazini Unguja-7-4
Kaskazini Unguja,pulses _vop,277212.40234375,5,Kaskazini Unguja-6-5
Kaskazini Unguja,sorghum _vop,69829.298828125,6,Kaskazini Unguja-8-6
Kaskazini Unguja,bean _vop,44922.6005859375,7,Kaskazini Unguja-2-7
Kaskazini Unguja,groundnut _vop,24855.099609375,8,Kaskazini Unguja-5-8
Kaskazini Unguja,banana_and_plantain _vop,0,,Kaskazini Unguja-1-NA
Kaskazini Unguja,wheat _vop,0,,Kaskazini Unguja-10-NA
Kaskazini Pemba,banana_and_plantain _vop,0,,Kaskazini Pemba-1-NA
Kaskazini Pemba,bean _vop,0,,Kaskazini Pemba-2-NA
Kaskazini Pemba,cassava _vop,0,,Kaskazini Pemba-3-NA
Kaskazini Pemba,cereals _vop,0,,Kaskazini Pemba-4-NA
Kaskazini Pemba,groundnut _vop,0,,Kaskazini Pemba-5-NA
Kaskazini Pemba,pulses _vop,0,,Kaskazini Pemba-6-NA
Kaskazini Pemba,rice _vop,0,,Kaskazini Pemba-7-NA
Kaskazini Pemba,sorghum _vop,0,,Kaskazini Pemba-8-NA
Kaskazini Pemba,total _vop,0,,Kaskazini Pemba-9-NA
Kaskazini Pemba,wheat _vop,0,,Kaskazini Pemba-10-NA
Kagera,total _vop,581313009.443848,1,Kagera-9-1
Kagera,banana_and_plantain _vop,305265328.72963,2,Kagera-1-2
Kagera,pulses _vop,87295796.5685882,3,Kagera-6-3
Kagera,bean _vop,76591869.3879089,4,Kagera-2-4
Kagera,cereals _vop,44943467.5270462,5,Kagera-4-5
Kagera,cassava _vop,33344451.5555229,6,Kagera-3-6
Kagera,rice _vop,6736375.70608139,7,Kagera-7-7
Kagera,sorghum _vop,6007049.09280968,8,Kagera-8-8
Kagera,groundnut _vop,4012455.39849853,9,Kagera-5-9
Kagera,wheat _vop,331.5,10,Kagera-10-10
Iringa,total _vop,542115321.834473,1,Iringa-9-1
