Admin2,Crop,Area,Admin1
Bukoba Urban,sorghum _vop,78825.1015625,Kagera
Bukoba Urban,total _vop,8217871.25,Kagera
Bukoba Urban,wheat _vop,0,Kagera
Bukombe,banana_and_plantain _vop,270540.998348236,Geita
Bukombe,bean _vop,12674570.196167,Geita
Bukombe,cassava _vop,13419364.6459389,Geita
Bukombe,cereals _vop,21313285.0089645,Geita
Bukombe,groundnut _vop,7938029.68951797,Geita
Bukombe,pulses _vop,16303684.526062,Geita
Bukombe,rice _vop,11830449.5553284,Geita
Bukombe,sorghum _vop,154316.698755264,Geita
Bukombe,total _vop,75896671.5048828,Geita
Bukombe,wheat _vop,0,Geita
Bunda,banana_and_plantain _vop,0,Mara
Bunda,bean _vop,2275540.20985413,Mara
Bunda,cassava _vop,4581325.16342735,Mara
Bunda,cereals _vop,7999190.61959076,Mara
Bunda,groundnut _vop,276158.498733521,Mara
Bunda,pulses _vop,3748602.62106323,Mara
Bunda,rice _vop,1870381.38315582,Mara
Bunda,sorghum _vop,3081214.69192505,Mara
Bunda,total _vop,26393644.0184326,Mara
Bunda,wheat _vop,0,Mara
Busega,banana_and_plantain _vop,131271.298706055,Simiyu
Busega,bean _vop,1020477.30215454,Simiyu
Busega,cassava _vop,838941.390625,Simiyu
Busega,cereals _vop,7762409.453125,Simiyu
Busega,groundnut _vop,342152.397705078,Simiyu
Busega,pulses _vop,1729006.7175293,Simiyu
Busega,rice _vop,4328600.75390625,Simiyu
Busega,sorghum _vop,1093302.08984375,Simiyu
Busega,total _vop,18265451.7890625,Simiyu
Busega,wheat _vop,0,Simiyu
Butiama,banana_and_plantain _vop,0,Mara
Butiama,bean _vop,1159053.79638672,Mara
Butiama,cassava _vop,3875100.1875,Mara
Butiama,cereals _vop,3033353.3046875,Mara
Butiama,groundnut _vop,21021.1003265381,Mara
Butiama,pulses _vop,1170761.49951172,Mara
Butiama,rice _vop,739194.80078125,Mara
Butiama,sorghum _vop,965554.098632813,Mara
Butiama,total _vop,10405835.5234375,Mara
Butiama,wheat _vop,0,Mara
Chake,banana_and_plantain _vop,0,Kusini Pemba
Chake,bean _vop,0,Kusini Pemba
Chake,cassava _vop,2680889.6875,Kusini Pemba
Chake,cereals _vop,3840642.875,Kusini Pemba
Chake,groundnut _vop,63423.501953125,Kusini Pemba
Chake,pulses _vop,76264.6015625,Kusini Pemba
Chake,rice _vop,3790125.125,Kusini Pemba
Chake,sorghum _vop,4379.09991455078,Kusini Pemba
Chake,total _vop,8065459.25,Kusini Pemba
Chake,wheat _vop,0,Kusini Pemba
Chamwino,banana_and_plantain _vop,0,Dodoma
Chamwino,bean _vop,0,Dodoma
Chamwino,cassava _vop,1269473.29937744,Dodoma
Chamwino,cereals _vop,3698789.01800537,Dodoma
Chamwino,groundnut _vop,2173221.60412598,Dodoma
Chamwino,pulses _vop,2124791.79714966,Dodoma
Chamwino,rice _vop,59808.6003437042,Dodoma
Chamwino,sorghum _vop,1161218.50390053,Dodoma
Chamwino,total _vop,34543740.0981445,Dodoma
Chamwino,wheat _vop,0,Dodoma
Chato,banana_and_plantain _vop,6496233.82653809,Geita
Chato,bean _vop,4436766.83984375,Geita
Chato,cassava _vop,4904462.19824219,Geita
Chato,cereals _vop,6084081.52734375,Geita
Chato,groundnut _vop,929834.400573731,Geita
Chato,pulses _vop,4605910.06054688,Geita
Chato,rice _vop,1845550.51123047,Geita
Chato,sorghum _vop,230076.400756836,Geita
Chato,total _vop,28601295.9765625,Geita
Chato,wheat _vop,0,Geita
Chemba,banana_and_plantain _vop,0,Dodoma
Chemba,bean _vop,1266260.69313812,Dodoma
Chemba,cassava _vop,2049164.90594482,Dodoma
Chemba,cereals _vop,8882752.47106934,Dodoma
Chemba,groundnut _vop,2860548.48881531,Dodoma
Chemba,pulses _vop,18282378.9333038,Dodoma
Chemba,rice _vop,8165.5999546051,Dodoma
Chemba,sorghum _vop,2376962.79636383,Dodoma
Chemba,total _vop,53389278.5717773,Dodoma
Chemba,wheat _vop,0,Dodoma
Chunya,banana_and_plantain _vop,0,Mbeya
Chunya,bean _vop,4600355.01807404,Mbeya
Chunya,cassava _vop,1059101.89960098,Mbeya
Chunya,cereals _vop,19655020.8757019,Mbeya
Chunya,groundnut _vop,2403910.31603622,Mbeya
Chunya,pulses _vop,4674178.69393158,Mbeya
Chunya,rice _vop,1786193.59755516,Mbeya
Chunya,sorghum _vop,1463680.90011597,Mbeya
Chunya,total _vop,42082649.0402832,Mbeya
Chunya,wheat _vop,0,Mbeya
Dodoma Urban,banana_and_plantain _vop,0,Dodoma
Dodoma Urban,bean _vop,0,Dodoma
Dodoma Urban,cassava _vop,69821.1005859375,Dodoma
Dodoma Urban,cereals _vop,153438.596923828,Dodoma
Dodoma Urban,groundnut _vop,32839.5004882813,Dodoma
Dodoma Urban,pulses _vop,183449.400390625,Dodoma
Dodoma Urban,rice _vop,2372.60001373291,Dodoma
Dodoma Urban,sorghum _vop,8497.59985351563,Dodoma
Dodoma Urban,total _vop,2331942.57714844,Dodoma
Dodoma Urban,wheat _vop,0,Dodoma
Gairo,banana_and_plantain _vop,331685.299957275,Morogoro
Gairo,bean _vop,4537152.22363281,Morogoro
Gairo,cassava _vop,2270694.97583008,Morogoro
Gairo,cereals _vop,7261105.1625061,Morogoro
Gairo,groundnut _vop,122110.299072266,Morogoro
Gairo,pulses _vop,5286993.69042969,Morogoro
Gairo,rice _vop,3247395.16796875,Morogoro
Gairo,sorghum _vop,77765.50025177,Morogoro
Gairo,total _vop,30641547.6328125,Morogoro
Gairo,wheat _vop,10966.1999835968,Morogoro
Geita,banana_and_plantain _vop,187035.896942139,Geita
Geita,bean _vop,15971621.046875,Geita
Geita,cassava _vop,28875652.3515625,Geita
Geita,cereals _vop,33784091.75,Geita
Geita,groundnut _vop,3352868.87890625,Geita
Geita,pulses _vop,17635300.859375,Geita
Geita,rice _vop,19689030.359375,Geita
Geita,sorghum _vop,329530.500854492,Geita
Geita,total _vop,103776042.625,Geita
Geita,wheat _vop,0,Geita
Hai,banana_and_plantain _vop,6279372.8125,Kilimanjaro
Hai,bean _vop,8326671.63476562,Kilimanjaro
Hai,cassava _vop,870686.998046875,Kilimanjaro
Hai,cereals _vop,7844803.69335938,Kilimanjaro
Hai,groundnut _vop,829736.90625,Kilimanjaro
Hai,pulses _vop,9317215.67578125,Kilimanjaro
Hai,rice _vop,4227212.484375,Kilimanjaro
Hai,sorghum _vop,248401.400779724,Kilimanjaro
Hai,total _vop,29691230.4746094,Kilimanjaro
Hai,wheat _vop,495280.606201172,Kilimanjaro
Hanang,banana_and_plantain _vop,27824.9002990723,Manyara
Hanang,bean _vop,14646967.8007813,Manyara
Hanang,cassava _vop,17758.0001296997,Manyara
Hanang,cereals _vop,9163758.91894531,Manyara
Hanang,groundnut _vop,14480.0999755859,Manyara
Hanang,pulses _vop,25983361.0371094,Manyara
Hanang,rice _vop,0,Manyara
Hanang,sorghum _vop,408164.697937012,Manyara
Hanang,total _vop,39694112.5742188,Manyara
Hanang,wheat _vop,1630249.49780273,Manyara
Handeni,banana_and_plantain _vop,13054344.4290619,Tanga
Handeni,bean _vop,0,Tanga
Handeni,cassava _vop,2180555.70240784,Tanga
Handeni,cereals _vop,20580261.5796204,Tanga
Handeni,groundnut _vop,617273.203296661,Tanga
Handeni,pulses _vop,1309247.39379883,Tanga
Handeni,rice _vop,7966616.6076355,Tanga
Handeni,sorghum _vop,315330.898666382,Tanga
Handeni,total _vop,52939838.3115234,Tanga
Handeni,wheat _vop,0,Tanga
Handeni Town,banana_and_plantain _vop,740004,Tanga
Handeni Town,bean _vop,0,Tanga
Handeni Town,cassava _vop,661599.3046875,Tanga
Handeni Town,cereals _vop,5898541.4453125,Tanga
Handeni Town,groundnut _vop,150935.299316406,Tanga
Handeni Town,pulses _vop,395973.996582031,Tanga
Handeni Town,rice _vop,1660275.09375,Tanga
Handeni Town,sorghum _vop,103901.499755859,Tanga
Handeni Town,total _vop,11871577.75,Tanga
Handeni Town,wheat _vop,0,Tanga
Igunga,banana_and_plantain _vop,0,Tabora
Igunga,bean _vop,57431.3984375,Tabora
Igunga,cassava _vop,1119970.40234375,Tabora
Igunga,cereals _vop,18103196.7097626,Tabora
Igunga,groundnut _vop,12408746.6835938,Tabora
Igunga,pulses _vop,1807128.80322266,Tabora
Igunga,rice _vop,6511079.3671875,Tabora
Igunga,sorghum _vop,3131367.60634613,Tabora
Igunga,total _vop,67640906.2695312,Tabora
Igunga,wheat _vop,0,Tabora
Ikungi,banana_and_plantain _vop,0,Singida
Ikungi,bean _vop,3219714.60488129,Singida
Ikungi,cassava _vop,2327008.2878418,Singida
Ikungi,cereals _vop,17652889.8500061,Singida
Ikungi,groundnut _vop,1201256.50527954,Singida
Ikungi,pulses _vop,13445788.7036133,Singida
Ikungi,rice _vop,300404.300094605,Singida
Ikungi,sorghum _vop,5831639.59228516,Singida
Ikungi,total _vop,76416353.796875,Singida
Ikungi,wheat _vop,0,Singida
Ilala,banana_and_plantain _vop,221874.4921875,Dar es Salaam
Ilala,bean _vop,0,Dar es Salaam
Ilala,cassava _vop,2091273.875,Dar es Salaam
Ilala,cereals _vop,1460461.9140625,Dar es Salaam
Ilala,groundnut _vop,0,Dar es Salaam
Ilala,pulses _vop,36277.0998535156,Dar es Salaam
Ilala,rice _vop,1361366.6015625,Dar es Salaam
Ilala,sorghum _vop,2335.5,Dar es Salaam
Ilala,total _vop,33412193.8125,Dar es Salaam
Ilala,wheat _vop,0,Dar es Salaam
Ileje,banana_and_plantain _vop,5794307.74584961,Songwe
Ileje,bean _vop,11849998.8860321,Songwe
Ileje,cassava _vop,2392798.38134766,Songwe
Ileje,cereals _vop,13992860.6407471,Songwe
Ileje,groundnut _vop,1891379.89668274,Songwe
Ileje,pulses _vop,12053443.8561554,Songwe
Ileje,rice _vop,4416141.6875,Songwe
Ileje,sorghum _vop,3983.60009765625,Songwe
Ileje,total _vop,54554400.1357422,Songwe
Ileje,wheat _vop,62152.6009531021,Songwe
Ilemela,banana_and_plantain _vop,79478.296875,Mwanza
Ilemela,bean _vop,0,Mwanza
Ilemela,cassava _vop,401451.3125,Mwanza
Ilemela,cereals _vop,270098.3125,Mwanza
Ilemela,groundnut _vop,0,Mwanza
Ilemela,pulses _vop,122305.296875,Mwanza
Ilemela,rice _vop,179264,Mwanza
Ilemela,sorghum _vop,18051.30078125,Mwanza
Ilemela,total _vop,2018167.25,Mwanza
Ilemela,wheat _vop,0,Mwanza
Iramba,banana_and_plantain _vop,0,Singida
Iramba,bean _vop,4560004.6159668,Singida
Iramba,cassava _vop,3222118.4196167,Singida
Iramba,cereals _vop,10894525.4443359,Singida
Iramba,groundnut _vop,1819882.18774414,Singida
Iramba,pulses _vop,4861504.89477539,Singida
Iramba,rice _vop,379966.099151611,Singida
Iramba,sorghum _vop,2220383.59765625,Singida
